condition,seed,update,enforce,freeze,bonus_on,removal_on,hazard_on,coord_on,eat0,eat1,eat2,eat3,enc0,enc1,enc2,enc3,selectivity,prevalence,zaps,ret
none,1,235,1.0,0.0,1.0,1.0,1.0,1.0,32.3984375,72.93359375,76.03515625,66.83984375,126.109375,221.43359375,230.4375,203.78125,0.0,0.0,1.64453125,25.54610252380371
none,1,236,1.0,0.0,1.0,1.0,1.0,1.0,32.12890625,72.9921875,76.8046875,67.5546875,124.1796875,222.015625,230.60546875,205.8125,0.0,0.0,1.65234375,25.80794334411621
none,1,237,1.0,0.0,1.0,1.0,1.0,1.0,32.83203125,74.26953125,77.11328125,66.34765625,126.875,225.984375,232.44921875,202.234375,0.0,0.0,1.55078125,25.69088363647461
none,1,238,1.0,0.0,1.0,1.0,1.0,1.0,32.63671875,73.9140625,77.390625,67.234375,126.53125,223.69140625,233.41015625,204.72265625,0.0,0.0,1.46484375,25.943777084350586
none,1,239,1.0,0.0,1.0,1.0,1.0,1.0,33.109375,72.28515625,78.07421875,68.0546875,128.96484375,220.0078125,234.76171875,207.22265625,0.0,0.0,1.59375,25.88630485534668
none,1,240,1.0,0.0,1.0,1.0,1.0,1.0,33.01953125,73.38671875,76.74609375,67.19140625,127.859375,224.734375,232.02734375,205.609375,0.0,0.0,1.51953125,25.977081298828125
none,1,241,1.0,0.0,1.0,1.0,1.0,1.0,33.5859375,73.65234375,76.99609375,67.15625,129.09375,224.45703125,234.7109375,205.23828125,0.0,0.0,1.45703125,25.590179443359375
none,1,242,1.0,0.0,1.0,1.0,1.0,1.0,32.86328125,73.625,77.23828125,67.70703125,129.85546875,224.60546875,233.2890625,207.6875,0.0,0.0,1.5,26.024127960205078
none,1,243,1.0,0.0,1.0,1.0,1.0,1.0,32.62890625,74.12890625,78.609375,66.765625,128.51171875,227.4375,237.81640625,203.77734375,0.0,0.0,1.55078125,26.11178970336914
none,1,244,1.0,0.0,1.0,1.0,1.0,1.0,32.07421875,73.08984375,77.86328125,69.734375,125.81640625,223.8515625,235.234375,211.66015625,0.0,0.0,1.4921875,26.426633834838867
none,1,245,1.0,0.0,1.0,1.0,1.0,1.0,33.5546875,73.74609375,77.3671875,68.546875,130.96875,224.91015625,234.26171875,208.796875,0.0,0.0,1.55078125,26.051137924194336
none,1,246,1.0,0.0,1.0,1.0,1.0,1.0,32.15234375,73.50390625,78.05078125,67.6015625,123.5,222.26953125,236.640625,209.1015625,0.0,0.0,1.5234375,26.159910202026367
none,1,247,1.0,0.0,1.0,1.0,1.0,1.0,32.328125,74.84375,78.734375,67.81640625,125.8984375,227.6875,236.77734375,206.046875,0.0,0.0,1.390625,26.647014617919922
none,1,248,1.0,0.0,1.0,1.0,1.0,1.0,32.078125,74.375,78.11328125,69.43359375,125.2421875,225.671875,236.484375,211.390625,0.0,0.0,1.34375,26.5479736328125
none,1,249,1.0,0.0,1.0,1.0,1.0,1.0,32.7421875,74.71484375,77.74609375,68.52734375,129.8203125,228.21875,235.4140625,209.99609375,0.0,0.0,1.54296875,26.373802185058594
none,1,250,1.0,0.0,1.0,1.0,1.0,1.0,32.8125,74.6875,77.33203125,68.79296875,129.8125,228.25,235.4765625,209.93359375,0.0,0.0,1.4453125,26.456594467163086
none,1,251,1.0,0.0,1.0,1.0,1.0,1.0,31.34375,74.109375,78.3203125,69.1015625,123.6640625,226.75,237.70703125,210.26171875,0.0,0.0,1.3515625,26.660680770874023
none,1,252,1.0,0.0,1.0,1.0,1.0,1.0,33.0,75.09765625,78.47265625,68.95703125,128.69140625,229.375,238.34765625,210.39453125,0.0,0.0,1.4921875,26.634700775146484
none,1,253,1.0,0.0,1.0,1.0,1.0,1.0,32.76953125,77.15625,77.6328125,67.5625,127.81640625,235.4921875,235.359375,207.1640625,0.0,0.0,1.4609375,26.713653564453125
none,1,254,1.0,0.0,1.0,1.0,1.0,1.0,32.26953125,75.09765625,77.765625,68.3203125,125.07421875,231.0078125,237.8984375,209.171875,0.0,0.0,1.40234375,26.46383285522461
none,1,255,1.0,0.0,1.0,1.0,1.0,1.0,31.4921875,75.75,78.76953125,69.4140625,123.74609375,228.703125,239.41796875,211.73046875,0.0,0.0,1.3984375,27.100215911865234
none,1,256,1.0,0.0,1.0,1.0,1.0,1.0,31.6484375,74.6640625,78.8671875,68.78125,123.52734375,227.38671875,237.234375,209.6328125,0.0,0.0,1.33203125,26.61715316772461
none,1,257,1.0,0.0,1.0,1.0,1.0,1.0,32.0625,75.7265625,78.3359375,69.875,124.65234375,229.203125,237.9765625,213.66796875,0.0,0.0,1.39453125,26.859516143798828
none,1,258,1.0,0.0,1.0,1.0,1.0,1.0,31.21875,75.046875,78.92578125,69.62890625,123.375,227.1015625,237.93359375,213.19140625,0.0,0.0,1.36328125,27.011428833007812
none,1,259,1.0,0.0,1.0,1.0,1.0,1.0,31.84375,75.20703125,79.08203125,69.75390625,122.8046875,226.88671875,237.95703125,211.4609375,0.0,0.0,1.3046875,27.088451385498047
none,1,260,1.0,0.0,1.0,1.0,1.0,1.0,32.375,73.9375,80.4453125,70.15625,124.88671875,223.734375,241.44921875,213.671875,0.0,0.0,1.2265625,27.023895263671875
none,1,261,1.0,0.0,1.0,1.0,1.0,1.0,32.5390625,74.50390625,79.5703125,70.421875,126.1015625,226.22265625,237.7578125,214.953125,0.0,0.0,1.34765625,26.91774559020996
none,1,262,1.0,0.0,1.0,1.0,1.0,1.0,31.31640625,74.71875,80.30078125,70.63671875,121.26953125,226.828125,241.8515625,212.66015625,0.0,0.0,1.3671875,27.465045928955078
none,1,263,1.0,0.0,1.0,1.0,1.0,1.0,32.30078125,75.18359375,80.69921875,70.1328125,125.39453125,226.95703125,241.15625,213.01953125,0.0,0.0,1.31640625,27.27741241455078
none,1,264,1.0,0.0,1.0,1.0,1.0,1.0,32.05859375,74.203125,80.30859375,70.9765625,123.68359375,224.68359375,238.97265625,215.90234375,0.0,0.0,1.38671875,27.231069564819336
none,1,265,1.0,0.0,1.0,1.0,1.0,1.0,31.8671875,76.3203125,80.0703125,69.56640625,121.80859375,230.99609375,239.609375,210.90234375,0.0,0.0,1.27734375,27.370159149169922
none,1,266,1.0,0.0,1.0,1.0,1.0,1.0,31.53125,75.921875,79.83203125,69.265625,121.64453125,229.59375,240.94140625,211.09765625,0.0,0.0,1.3359375,27.202381134033203
none,1,267,1.0,0.0,1.0,1.0,1.0,1.0,30.9609375,77.00390625,79.43359375,69.4921875,120.26171875,234.30078125,239.35546875,211.265625,0.0,0.0,1.36328125,27.541488647460938
none,1,268,1.0,0.0,1.0,1.0,1.0,1.0,31.50390625,76.44140625,81.078125,69.40625,122.98828125,231.671875,243.96875,209.6484375,0.0,0.0,1.3828125,27.589941024780273
none,1,269,1.0,0.0,1.0,1.0,1.0,1.0,31.23046875,75.5234375,81.3359375,69.79296875,120.4140625,228.64453125,244.6484375,211.63671875,0.0,0.0,1.3359375,27.751583099365234
none,1,270,1.0,0.0,1.0,1.0,1.0,1.0,31.5234375,76.6875,79.8828125,68.37109375,122.62890625,232.8046875,241.0625,209.1015625,0.0,0.0,1.24609375,27.241832733154297
none,1,271,1.0,0.0,1.0,1.0,1.0,1.0,31.53515625,77.984375,80.65625,67.58984375,122.96875,237.3515625,242.90234375,205.75,0.0,0.0,1.3359375,27.66298484802246
none,1,272,1.0,0.0,1.0,1.0,1.0,1.0,30.5859375,76.9296875,80.453125,68.44921875,117.91015625,234.90234375,241.8203125,208.02734375,0.0,0.0,1.33984375,27.507116317749023
none,1,273,1.0,0.0,1.0,1.0,1.0,1.0,32.5,76.484375,81.0234375,69.078125,124.50390625,231.01171875,244.26953125,210.64453125,0.0,0.0,1.17578125,27.361188888549805
