N,D,bonus,condition,seed,update,eat0,eat1,selectivity,prevalence,zaps,ret
12,100,2.0,0,0,0,41.125,61.0625,6.5199174880981445,0.15337617695331573,53.0625,-3.5807290077209473
12,100,2.0,0,0,1,40.4375,63.4375,6.836044788360596,0.14628341794013977,52.875,-3.440624952316284
12,100,2.0,0,0,2,38.3125,65.875,7.0436930656433105,0.14197097718715668,51.5,-3.2052078247070312
12,100,2.0,0,0,3,40.6875,63.25,6.522244930267334,0.15332143008708954,54.25,-3.448958158493042
12,100,2.0,0,0,4,39.3125,67.25,7.2257819175720215,0.1383933275938034,52.375,-2.975520610809326
12,100,2.0,0,0,5,39.9375,68.0625,6.919471740722656,0.14451970160007477,53.3125,-2.7427079677581787
12,100,2.0,0,0,6,40.375,64.875,6.843547344207764,0.14612305164337158,53.5625,-3.2557294368743896
12,100,2.0,0,0,7,36.5,68.3125,7.738264083862305,0.12922795116901398,49.75,-2.8458335399627686
12,100,2.0,0,0,8,38.8125,70.8125,7.684210777282715,0.13013698160648346,52.125,-2.8171873092651367
12,100,2.0,0,0,9,37.0,71.0,7.625840663909912,0.1311330795288086,52.0,-2.3385415077209473
12,100,2.0,0,0,10,39.8125,70.125,6.989213466644287,0.14307761192321777,54.5,-3.2864584922790527
12,100,2.0,0,0,11,37.25,70.9375,8.04843807220459,0.1242477148771286,52.25,-2.6968746185302734
12,100,2.0,0,0,12,35.5,75.5625,8.529157638549805,0.11724486947059631,49.0,-2.4197916984558105
12,100,2.0,0,0,13,35.1875,77.9375,9.23614501953125,0.10827028751373291,50.25,-2.2468748092651367
12,100,2.0,0,0,14,36.25,73.375,8.196721076965332,0.12200000137090683,52.875,-2.582291603088379
12,100,2.0,0,0,15,33.125,79.375,9.887253761291504,0.10114032030105591,48.9375,-1.3734372854232788
12,100,2.0,0,0,16,32.0625,78.3125,9.761870384216309,0.10243938863277435,48.0625,-1.599479079246521
12,100,2.0,0,0,17,33.125,83.4375,9.452381134033203,0.10579345375299454,48.75,-1.472916603088379
12,100,2.0,0,0,18,32.0,85.0625,10.269705772399902,0.09737376868724823,47.9375,-1.1307291984558105
12,100,2.0,0,0,19,30.75,81.625,11.07738971710205,0.09027396887540817,47.4375,-1.2640624046325684
12,100,2.0,0,0,20,31.625,79.875,10.803857803344727,0.09255953133106232,48.1875,-1.8291664123535156
12,100,2.0,0,0,21,29.625,85.375,12.643936157226562,0.07908929139375687,45.3125,-1.0078125
12,100,2.0,0,0,22,29.125,84.4375,11.746931076049805,0.08512862026691437,42.0,-1.0281248092651367
12,100,2.0,0,0,23,27.5,87.0,12.51850700378418,0.07988172769546509,44.25,-0.6708332300186157
12,100,2.0,0,0,24,28.6875,85.625,12.803322792053223,0.07810471951961517,41.5625,-0.7463542222976685
12,100,2.0,0,0,25,27.6875,96.75,13.32994270324707,0.07501907646656036,42.5,0.011979262344539165
12,100,2.0,0,0,26,29.9375,86.125,11.99525260925293,0.08336631953716278,46.8125,-0.857291579246521
12,100,2.0,0,0,27,28.75,90.25,13.150476455688477,0.07604287564754486,44.0625,-0.5369791388511658
12,100,2.0,0,0,28,30.0,91.8125,11.557307243347168,0.0865253433585167,44.5625,-0.6072916388511658
12,100,2.0,0,0,29,28.9375,94.75,12.4185152053833,0.08052492886781693,43.5,-0.2098957747220993
