N,D,bonus,condition,seed,update,eat0,eat1,enc0,enc1,selectivity,prevalence,zaps,ret
12,100,8.75,none,1,361,93.1484375,124.46875,305.91796875,388.25390625,0.0,0.0,6.296875,-4.2955732345581055
12,100,8.75,none,1,362,94.0703125,124.80078125,308.09375,390.55859375,0.0,0.0,6.203125,-4.308105945587158
12,100,8.75,none,1,363,93.7734375,125.34765625,306.48046875,390.40625,0.0,0.0,6.34375,-4.257031440734863
12,100,8.75,none,1,364,93.9140625,123.8671875,307.359375,387.23046875,0.0,0.0,6.171875,-4.564225673675537
12,100,8.75,none,1,365,94.92578125,124.46875,310.2265625,389.16015625,0.0,0.0,6.11328125,-4.438444137573242
12,100,8.75,none,1,366,93.74609375,124.53125,305.42578125,387.7890625,0.0,0.0,6.13671875,-4.318229675292969
12,100,8.75,none,1,367,93.37890625,125.62109375,306.46484375,389.921875,0.0,0.0,6.3046875,-4.26953125
12,100,8.75,none,1,368,94.09375,125.50390625,305.7578125,389.98046875,0.0,0.0,6.1015625,-4.22226619720459
12,100,8.75,none,1,369,92.61328125,125.28125,301.98828125,388.4453125,0.0,0.0,6.109375,-4.079785346984863
12,100,8.75,none,1,370,93.375,124.765625,302.23828125,386.47265625,0.0,0.0,6.1171875,-3.949772596359253
12,100,8.75,none,1,371,93.8203125,124.98828125,303.1953125,387.91015625,0.0,0.0,6.19921875,-4.111263275146484
12,100,8.75,none,1,372,92.61328125,124.640625,299.93359375,386.94140625,0.0,0.0,6.08984375,-3.9833011627197266
12,100,8.75,none,1,373,93.7578125,124.42578125,304.54296875,384.8515625,0.0,0.0,5.96484375,-4.383691787719727
12,100,8.75,none,1,374,93.6953125,125.87890625,304.6796875,388.58984375,0.0,0.0,5.83203125,-4.194336414337158
12,100,8.75,none,1,375,92.27734375,125.78125,300.73046875,388.0625,0.0,0.0,5.92578125,-4.080533981323242
12,100,8.75,none,1,376,93.5234375,124.26953125,303.55078125,385.33984375,0.0,0.0,6.16015625,-4.442838668823242
12,100,8.75,none,1,377,92.578125,125.453125,301.82421875,388.1015625,0.0,0.0,5.91015625,-4.233854293823242
12,100,8.75,none,1,378,93.375,125.91015625,302.890625,387.79296875,0.0,0.0,6.08984375,-4.225944519042969
12,100,8.75,none,1,379,93.27734375,124.93359375,302.3203125,386.703125,0.0,0.0,6.1875,-4.214876651763916
12,100,8.75,none,1,380,93.25,125.75390625,302.7265625,388.0,0.0,0.0,6.22265625,-4.265885353088379
12,100,8.75,none,1,381,93.47265625,125.9296875,304.52734375,388.55078125,0.0,0.0,5.94140625,-4.071647644042969
12,100,8.75,none,1,382,93.6640625,125.5390625,303.1484375,388.75390625,0.0,0.0,5.81640625,-4.15966796875
12,100,8.75,none,1,383,94.02734375,125.390625,305.9140625,388.44921875,0.0,0.0,5.83203125,-4.402376651763916
12,100,8.75,none,1,384,93.640625,124.71484375,301.7890625,385.16796875,0.0,0.0,5.890625,-4.2755537033081055
12,100,8.75,none,1,385,93.890625,125.96484375,303.09375,386.5390625,0.0,0.0,5.828125,-4.165397644042969
12,100,8.75,none,1,386,93.1484375,126.2421875,301.765625,389.32421875,0.0,0.0,5.7734375,-3.909180164337158
12,100,8.75,none,1,387,94.25390625,124.66796875,306.40234375,384.578125,0.0,0.0,5.85546875,-4.2275390625
12,100,8.75,none,1,388,94.328125,125.265625,305.12109375,384.609375,0.0,0.0,5.62109375,-4.240560531616211
12,100,8.75,none,1,389,94.93359375,126.0625,307.03515625,388.77734375,0.0,0.0,5.68359375,-4.214290618896484
